ADM2_EN_x,ADM2_EN_y
Mohyliv-Podilskyi,Tulchynskyi
Mohyliv-Podilskyi,Kamianets-Podilskyi
Mohyliv-Podilskyi,Dnistrovskyi
Tulchynskyi,Vinnytskyi
Tulchynskyi,Haisynskyi
Tulchynskyi,Zhmerynskyi
Tulchynskyi,Mohyliv-Podilskyi
Tulchynskyi,Tulchynskyi
Tulchynskyi,Podilskyi
Khmilnytskyi,Vinnytskyi
Khmilnytskyi,Khmilnytskyi
Khmilnytskyi,Berdychivskyi
Khmilnytskyi,Zhytomyrskyi
Khmilnytskyi,Khmelnytskyi
Volodymyrskyi,Volodymyrskyi
Volodymyrskyi,Kovelskyi
Volodymyrskyi,Lutskyi
Volodymyrskyi,Chervonohradskyi
Kamin-Kashyrskyi,Kamin-Kashyrskyi
Kamin-Kashyrskyi,Kovelskyi
Kamin-Kashyrskyi,Lutskyi
Kamin-Kashyrskyi,Varaskyi
Kovelskyi,Volodymyrskyi
Kovelskyi,Kamin-Kashyrskyi
Kovelskyi,Kovelskyi
Kovelskyi,Lutskyi
Lutskyi,Volodymyrskyi
Lutskyi,Kamin-Kashyrskyi
Lutskyi,Kovelskyi
Lutskyi,Lutskyi
Lutskyi,Zolochivskyi
Lutskyi,Chervonohradskyi
Lutskyi,Varaskyi
Lutskyi,Dubenskyi
Lutskyi,Rivnenskyi
Dniprovskyi,Dniprovskyi
Dniprovskyi,Kamianskyi
Dniprovskyi,Kryvorizkyi
Dniprovskyi,Nikopolskyi
Dniprovskyi,Novomoskovskyi
Dniprovskyi,Synelnykivskyi
Dniprovskyi,Zaporizkyi
Dniprovskyi,Poltavskyi
Kamianskyi,Dniprovskyi
Kamianskyi,Kamianskyi
Kamianskyi,Kryvorizkyi
Kamianskyi,Oleksandriiskyi
Kamianskyi,Kremenchutskyi
Kamianskyi,Poltavskyi
Kryvorizkyi,Dniprovskyi
Kryvorizkyi,Kamianskyi
Kryvorizkyi,Kryvorizkyi
Kryvorizkyi,Nikopolskyi
Kryvorizkyi,Kropyvnytskyi
Kryvorizkyi,Oleksandriiskyi
Kryvorizkyi,Bashtanskyi
Kryvorizkyi,Beryslavskyi
Kryvorizkyi,Kakhovskyi
Nikopolskyi,Dniprovskyi
Nikopolskyi,Kryvorizkyi
Nikopolskyi,Nikopolskyi
Nikopolskyi,Vasylivskyi
Nikopolskyi,Zaporizkyi
Nikopolskyi,Kakhovskyi
Novomoskovskyi,Dniprovskyi
Novomoskovskyi,Novomoskovskyi
Novomoskovskyi,Pavlohradskyi
Novomoskovskyi,Synelnykivskyi
Novomoskovskyi,Poltavskyi
Novomoskovskyi,Krasnohradskyi
Pavlohradskyi,Novomoskovskyi
Pavlohradskyi,Pavlohradskyi
Pavlohradskyi,Synelnykivskyi
Pavlohradskyi,Krasnohradskyi
Pavlohradskyi,Lozivskyi
Synelnykivskyi,Dniprovskyi
Synelnykivskyi,Novomoskovskyi
Synelnykivskyi,Pavlohradskyi
Synelnykivskyi,Synelnykivskyi
Synelnykivskyi,Volnovaskyi
Synelnykivskyi,Kramatorskyi
Synelnykivskyi,Pokrovskyi
Synelnykivskyi,Zaporizkyi
Synelnykivskyi,Polohivskyi
Synelnykivskyi,Lozivskyi
Bakhmutskyi,Bakhmutskyi
Bakhmutskyi,Horlivskyi
Bakhmutskyi,Kramatorskyi
Bakhmutskyi,Pokrovskyi
Bakhmutskyi,Sievierodonetskyi
Volnovaskyi,Synelnykivskyi
Volnovaskyi,Volnovaskyi
Volnovaskyi,Kalmiuskyi
Volnovaskyi,Mariupolskyi
Volnovaskyi,Pokrovskyi
Volnovaskyi,Polohivskyi
Horlivskyi,Bakhmutskyi
Horlivskyi,Horlivskyi
Horlivskyi,Donetskyi
Horlivskyi,Kramatorskyi
Horlivskyi,Pokrovskyi
Horlivskyi,Alchevskyi
Horlivskyi,Rovenkivskyi
Horlivskyi,Sievierodonetskyi
Donetskyi,Horlivskyi
Donetskyi,Donetskyi
Donetskyi,Kalmiuskyi
Donetskyi,Pokrovskyi
Kalmiuskyi,Volnovaskyi
Kalmiuskyi,Donetskyi
Kalmiuskyi,Kalmiuskyi
Kalmiuskyi,Mariupolskyi
Kalmiuskyi,Pokrovskyi
Kramatorskyi,Synelnykivskyi
Kramatorskyi,Bakhmutskyi
Kramatorskyi,Horlivskyi
Kramatorskyi,Kramatorskyi
Kramatorskyi,Pokrovskyi
Kramatorskyi,Svativskyi
Kramatorskyi,Sievierodonetskyi
Kramatorskyi,Iziumskyi
Kramatorskyi,Lozivskyi
Mariupolskyi,Volnovaskyi
Mariupolskyi,Kalmiuskyi
Mariupolskyi,Mariupolskyi
Mariupolskyi,Berdianskyi
Mariupolskyi,Polohivskyi
Pokrovskyi,Synelnykivskyi
Pokrovskyi,Bakhmutskyi
Pokrovskyi,Volnovaskyi
Pokrovskyi,Horlivskyi
Pokrovskyi,Donetskyi
Pokrovskyi,Kalmiuskyi
Pokrovskyi,Kramatorskyi
Pokrovskyi,Pokrovskyi
Berdychivskyi,Vinnytskyi
Berdychivskyi,Khmilnytskyi
Berdychivskyi,Berdychivskyi
Berdychivskyi,Zhytomyrskyi
Berdychivskyi,Bilotserkivskyi
Zhytomyrskyi,Khmilnytskyi
Zhytomyrskyi,Berdychivskyi
Zhytomyrskyi,Zhytomyrskyi
Zhytomyrskyi,Korostenskyi
Zhytomyrskyi,Zviahelskyi
Zhytomyrskyi,Bilotserkivskyi
Zhytomyrskyi,Buchanskyi
Zhytomyrskyi,Fastivskyi
Zhytomyrskyi,Khmelnytskyi
Zhytomyrskyi,Shepetivskyi
Korostenskyi,Zhytomyrskyi
Korostenskyi,Korostenskyi
Korostenskyi,Zviahelskyi
Korostenskyi,Chornobyl Exclusion Zone
Korostenskyi,Buchanskyi
Korostenskyi,Vyshhorodskyi
Korostenskyi,Sarnenskyi
Zviahelskyi,Zhytomyrskyi
Zviahelskyi,Korostenskyi
Zviahelskyi,Zviahelskyi
Zviahelskyi,Rivnenskyi
Zviahelskyi,Sarnenskyi
Zviahelskyi,Shepetivskyi
Berehivskyi,Berehivskyi
Berehivskyi,Mukachivskyi
Berehivskyi,Uzhhorodskyi
Berehivskyi,Khustskyi
Mukachivskyi,Berehivskyi
Mukachivskyi,Mukachivskyi
Mukachivskyi,Uzhhorodskyi
Mukachivskyi,Khustskyi
Mukachivskyi,Sambirskyi
Mukachivskyi,Stryiskyi
Rakhivskyi,Rakhivskyi
Rakhivskyi,Tiachivskyi
Rakhivskyi,Verkhovynskyi
Rakhivskyi,Nadvirnianskyi
Tiachivskyi,Rakhivskyi
Tiachivskyi,Tiachivskyi
Tiachivskyi,Khustskyi
Tiachivskyi,Ivano-Frankivskyi
Tiachivskyi,Kaluskyi
Tiachivskyi,Nadvirnianskyi
Uzhhorodskyi,Berehivskyi
Uzhhorodskyi,Mukachivskyi
Uzhhorodskyi,Uzhhorodskyi
Uzhhorodskyi,Sambirskyi
Khustskyi,Berehivskyi
Khustskyi,Mukachivskyi
Khustskyi,Tiachivskyi
Khustskyi,Khustskyi
Khustskyi,Kaluskyi
Khustskyi,Stryiskyi
Berdianskyi,Mariupolskyi
Berdianskyi,Berdianskyi
Berdianskyi,Melitopolskyi
Berdianskyi,Polohivskyi
Vasylivskyi,Nikopolskyi
Vasylivskyi,Vasylivskyi
Vasylivskyi,Zaporizkyi
Vasylivskyi,Melitopolskyi
Vasylivskyi,Polohivskyi
Vasylivskyi,Kakhovskyi
Zaporizkyi,Dniprovskyi
Zaporizkyi,Nikopolskyi
Zaporizkyi,Synelnykivskyi
Zaporizkyi,Vasylivskyi
Zaporizkyi,Zaporizkyi
Zaporizkyi,Polohivskyi
Melitopolskyi,Berdianskyi
Melitopolskyi,Vasylivskyi
Melitopolskyi,Melitopolskyi
Melitopolskyi,Polohivskyi
Melitopolskyi,Henicheskyi
Melitopolskyi,Kakhovskyi
Polohivskyi,Synelnykivskyi
Polohivskyi,Volnovaskyi
Polohivskyi,Mariupolskyi
Polohivskyi,Berdianskyi
Polohivskyi,Vasylivskyi
Polohivskyi,Zaporizkyi
Polohivskyi,Melitopolskyi
Polohivskyi,Polohivskyi
Verkhovynskyi,Rakhivskyi
Verkhovynskyi,Verkhovynskyi
Verkhovynskyi,Kosivskyi
Verkhovynskyi,Nadvirnianskyi
Verkhovynskyi,Vyzhnytskyi
Ivano-Frankivskyi,Tiachivskyi
Ivano-Frankivskyi,Ivano-Frankivskyi
Ivano-Frankivskyi,Kaluskyi
Ivano-Frankivskyi,Kolomyiskyi
Ivano-Frankivskyi,Nadvirnianskyi
Ivano-Frankivskyi,Lvivskyi
Ivano-Frankivskyi,Stryiskyi
Ivano-Frankivskyi,Ternopilskyi
Ivano-Frankivskyi,Chortkivskyi
Kaluskyi,Tiachivskyi
Kaluskyi,Khustskyi
Kaluskyi,Ivano-Frankivskyi
Kaluskyi,Kaluskyi
Kaluskyi,Stryiskyi
Kolomyiskyi,Ivano-Frankivskyi
Kolomyiskyi,Kolomyiskyi
Kolomyiskyi,Kosivskyi
Kolomyiskyi,Nadvirnianskyi
Kolomyiskyi,Chortkivskyi
Kolomyiskyi,Vyzhnytskyi
Kolomyiskyi,Chernivetskyi
Kosivskyi,Verkhovynskyi
Kosivskyi,Kolomyiskyi
Kosivskyi,Kosivskyi
Kosivskyi,Nadvirnianskyi
Kosivskyi,Vyzhnytskyi
Nadvirnianskyi,Rakhivskyi
Nadvirnianskyi,Tiachivskyi
Nadvirnianskyi,Verkhovynskyi
Nadvirnianskyi,Ivano-Frankivskyi
Nadvirnianskyi,Kolomyiskyi
Nadvirnianskyi,Kosivskyi
Nadvirnianskyi,Nadvirnianskyi
Chornobyl Exclusion Zone,Korostenskyi
Chornobyl Exclusion Zone,Chornobyl Exclusion Zone
Chornobyl Exclusion Zone,Vyshhorodskyi
Chornobyl Exclusion Zone,Chernihivskyi
Bilotserkivskyi,Vinnytskyi
Bilotserkivskyi,Berdychivskyi
Bilotserkivskyi,Zhytomyrskyi
Bilotserkivskyi,Bilotserkivskyi
Bilotserkivskyi,Obukhivskyi
Bilotserkivskyi,Fastivskyi
Bilotserkivskyi,Zvenyhorodskyi
Bilotserkivskyi,Umanskyi
Boryspilskyi,Boryspilskyi
Boryspilskyi,Brovarskyi
Boryspilskyi,Obukhivskyi
Boryspilskyi,Lubenskyi
Boryspilskyi,Zolotoniskyi
Boryspilskyi,Cherkaskyi
Boryspilskyi,Prylutskyi
Boryspilskyi,Kyiv
Brovarskyi,Boryspilskyi
Brovarskyi,Brovarskyi
Brovarskyi,Vyshhorodskyi
Brovarskyi,Nizhynskyi
Brovarskyi,Prylutskyi
Brovarskyi,Chernihivskyi
Brovarskyi,Kyiv
Buchanskyi,Zhytomyrskyi
Buchanskyi,Korostenskyi
Buchanskyi,Buchanskyi
Buchanskyi,Vyshhorodskyi
Buchanskyi,Fastivskyi
Buchanskyi,Kyiv
Vyshhorodskyi,Korostenskyi
Vyshhorodskyi,Chornobyl Exclusion Zone
Vyshhorodskyi,Brovarskyi
Vyshhorodskyi,Buchanskyi
Vyshhorodskyi,Vyshhorodskyi
Vyshhorodskyi,Chernihivskyi
Vyshhorodskyi,Kyiv
Obukhivskyi,Bilotserkivskyi
Obukhivskyi,Boryspilskyi
Obukhivskyi,Obukhivskyi
Obukhivskyi,Fastivskyi
Obukhivskyi,Zvenyhorodskyi
Obukhivskyi,Cherkaskyi
Obukhivskyi,Kyiv
Fastivskyi,Zhytomyrskyi
Fastivskyi,Bilotserkivskyi
Fastivskyi,Buchanskyi
Fastivskyi,Obukhivskyi
Fastivskyi,Fastivskyi
Fastivskyi,Kyiv
Holovanivskyi,Haisynskyi
Holovanivskyi,Holovanivskyi
Holovanivskyi,Novoukrainskyi
Holovanivskyi,Pervomaiskyi
Holovanivskyi,Podilskyi
Holovanivskyi,Zvenyhorodskyi
Holovanivskyi,Umanskyi
Kropyvnytskyi,Kryvorizkyi
Kropyvnytskyi,Kropyvnytskyi
Kropyvnytskyi,Novoukrainskyi
Kropyvnytskyi,Oleksandriiskyi
Kropyvnytskyi,Bashtanskyi
Kropyvnytskyi,Voznesenskyi
Kropyvnytskyi,Cherkaskyi
Novoukrainskyi,Holovanivskyi
Novoukrainskyi,Kropyvnytskyi
Novoukrainskyi,Novoukrainskyi
Novoukrainskyi,Voznesenskyi
Novoukrainskyi,Pervomaiskyi
Novoukrainskyi,Zvenyhorodskyi
Novoukrainskyi,Cherkaskyi
Oleksandriiskyi,Kamianskyi
Oleksandriiskyi,Kryvorizkyi
Oleksandriiskyi,Kropyvnytskyi
Oleksandriiskyi,Oleksandriiskyi
Oleksandriiskyi,Kremenchutskyi
Oleksandriiskyi,Cherkaskyi
Alchevskyi,Horlivskyi
Alchevskyi,Alchevskyi
Alchevskyi,Luhanskyi
Alchevskyi,Rovenkivskyi
Alchevskyi,Sievierodonetskyi
Alchevskyi,Shchastynskyi
Dovzhanskyi,Dovzhanskyi
Dovzhanskyi,Luhanskyi
Dovzhanskyi,Rovenkivskyi
Dovzhanskyi,Shchastynskyi
Luhanskyi,Alchevskyi
Luhanskyi,Dovzhanskyi
Luhanskyi,Luhanskyi
Luhanskyi,Rovenkivskyi
Luhanskyi,Shchastynskyi
Rovenkivskyi,Horlivskyi
Rovenkivskyi,Alchevskyi
Rovenkivskyi,Dovzhanskyi
Rovenkivskyi,Luhanskyi
Rovenkivskyi,Rovenkivskyi
Svativskyi,Kramatorskyi
Svativskyi,Svativskyi
Svativskyi,Sievierodonetskyi
Svativskyi,Starobilskyi
Svativskyi,Iziumskyi
Svativskyi,Kupianskyi
Sievierodonetskyi,Bakhmutskyi
Sievierodonetskyi,Horlivskyi
Sievierodonetskyi,Kramatorskyi
Sievierodonetskyi,Alchevskyi
Sievierodonetskyi,Svativskyi
Sievierodonetskyi,Sievierodonetskyi
Sievierodonetskyi,Starobilskyi
Sievierodonetskyi,Shchastynskyi
Starobilskyi,Svativskyi
Starobilskyi,Sievierodonetskyi
Starobilskyi,Starobilskyi
Starobilskyi,Shchastynskyi
Shchastynskyi,Alchevskyi
Shchastynskyi,Dovzhanskyi
Shchastynskyi,Luhanskyi
Shchastynskyi,Sievierodonetskyi
Shchastynskyi,Starobilskyi
Shchastynskyi,Shchastynskyi
Drohobytskyi,Drohobytskyi
Drohobytskyi,Lvivskyi
Drohobytskyi,Sambirskyi
Drohobytskyi,Stryiskyi
Zolochivskyi,Lutskyi
Zolochivskyi,Zolochivskyi
Zolochivskyi,Lvivskyi
Zolochivskyi,Chervonohradskyi
Zolochivskyi,Dubenskyi
Zolochivskyi,Kremenetskyi
Zolochivskyi,Ternopilskyi
Lvivskyi,Ivano-Frankivskyi
Lvivskyi,Drohobytskyi
Lvivskyi,Zolochivskyi
Lvivskyi,Lvivskyi
Lvivskyi,Sambirskyi
Lvivskyi,Stryiskyi
Lvivskyi,Chervonohradskyi
Lvivskyi,Yavorivskyi
Lvivskyi,Ternopilskyi
Sambirskyi,Mukachivskyi
Sambirskyi,Uzhhorodskyi
Sambirskyi,Drohobytskyi
Sambirskyi,Lvivskyi
Sambirskyi,Sambirskyi
Sambirskyi,Stryiskyi
Sambirskyi,Yavorivskyi
Stryiskyi,Mukachivskyi
Stryiskyi,Khustskyi
Stryiskyi,Ivano-Frankivskyi
Stryiskyi,Kaluskyi
Stryiskyi,Drohobytskyi
Stryiskyi,Lvivskyi
Stryiskyi,Sambirskyi
Stryiskyi,Stryiskyi
Chervonohradskyi,Volodymyrskyi
Chervonohradskyi,Lutskyi
Chervonohradskyi,Zolochivskyi
Chervonohradskyi,Lvivskyi
Chervonohradskyi,Chervonohradskyi
Yavorivskyi,Lvivskyi
Yavorivskyi,Sambirskyi
Yavorivskyi,Yavorivskyi
Bashtanskyi,Kryvorizkyi
Bashtanskyi,Kropyvnytskyi
Bashtanskyi,Bashtanskyi
Bashtanskyi,Voznesenskyi
Bashtanskyi,Mykolaivskyi
Bashtanskyi,Beryslavskyi
Bashtanskyi,Khersonskyi
Voznesenskyi,Kropyvnytskyi
Voznesenskyi,Novoukrainskyi
Voznesenskyi,Bashtanskyi
Voznesenskyi,Voznesenskyi
Voznesenskyi,Mykolaivskyi
Voznesenskyi,Pervomaiskyi
Voznesenskyi,Berezivskyi
Mykolaivskyi,Bashtanskyi
Mykolaivskyi,Voznesenskyi
Mykolaivskyi,Mykolaivskyi
Mykolaivskyi,Berezivskyi
Mykolaivskyi,Odeskyi
Mykolaivskyi,Skadovskyi
Mykolaivskyi,Khersonskyi
Pervomaiskyi,Holovanivskyi
Pervomaiskyi,Novoukrainskyi
Pervomaiskyi,Voznesenskyi
Pervomaiskyi,Pervomaiskyi
Pervomaiskyi,Berezivskyi
Pervomaiskyi,Podilskyi
Berezivskyi,Voznesenskyi
Berezivskyi,Mykolaivskyi
Berezivskyi,Pervomaiskyi
Berezivskyi,Berezivskyi
Berezivskyi,Odeskyi
Berezivskyi,Podilskyi
Berezivskyi,Rozdilnianskyi
Bilhorod-Dnistrovskyi,Bilhorod-Dnistrovskyi
Bilhorod-Dnistrovskyi,Bolhradskyi
Bilhorod-Dnistrovskyi,Izmailskyi
Bilhorod-Dnistrovskyi,Odeskyi
Bolhradskyi,Bilhorod-Dnistrovskyi
Bolhradskyi,Bolhradskyi
Bolhradskyi,Izmailskyi
Izmailskyi,Bilhorod-Dnistrovskyi
Izmailskyi,Bolhradskyi
Izmailskyi,Izmailskyi
Odeskyi,Mykolaivskyi
Odeskyi,Berezivskyi
Odeskyi,Bilhorod-Dnistrovskyi
Odeskyi,Odeskyi
Odeskyi,Rozdilnianskyi
Podilskyi,Haisynskyi
Podilskyi,Tulchynskyi
Podilskyi,Holovanivskyi
Podilskyi,Pervomaiskyi
Podilskyi,Berezivskyi
Podilskyi,Podilskyi
Podilskyi,Rozdilnianskyi
Rozdilnianskyi,Berezivskyi
Rozdilnianskyi,Odeskyi
Rozdilnianskyi,Podilskyi
Rozdilnianskyi,Rozdilnianskyi
Kremenchutskyi,Kamianskyi
Kremenchutskyi,Oleksandriiskyi
Kremenchutskyi,Kremenchutskyi
Kremenchutskyi,Lubenskyi
Kremenchutskyi,Myrhorodskyi
Kremenchutskyi,Poltavskyi
Kremenchutskyi,Zolotoniskyi
Kremenchutskyi,Cherkaskyi
Lubenskyi,Boryspilskyi
Lubenskyi,Kremenchutskyi
Lubenskyi,Lubenskyi
Lubenskyi,Myrhorodskyi
Lubenskyi,Zolotoniskyi
Lubenskyi,Prylutskyi
Myrhorodskyi,Kremenchutskyi
Myrhorodskyi,Lubenskyi
Myrhorodskyi,Myrhorodskyi
Myrhorodskyi,Poltavskyi
Myrhorodskyi,Okhtyrskyi
Myrhorodskyi,Romenskyi
Myrhorodskyi,Sumskyi
Myrhorodskyi,Prylutskyi
Poltavskyi,Dniprovskyi
Poltavskyi,Kamianskyi
Poltavskyi,Novomoskovskyi
Poltavskyi,Kremenchutskyi
Poltavskyi,Myrhorodskyi
Poltavskyi,Poltavskyi
Poltavskyi,Okhtyrskyi
Poltavskyi,Bohodukhivskyi
Poltavskyi,Krasnohradskyi
Varaskyi,Kamin-Kashyrskyi
Varaskyi,Lutskyi
Varaskyi,Varaskyi
Varaskyi,Rivnenskyi
Varaskyi,Sarnenskyi
Dubenskyi,Lutskyi
Dubenskyi,Zolochivskyi
Dubenskyi,Dubenskyi
Dubenskyi,Rivnenskyi
Dubenskyi,Kremenetskyi
Rivnenskyi,Lutskyi
Rivnenskyi,Zviahelskyi
Rivnenskyi,Varaskyi
Rivnenskyi,Dubenskyi
Rivnenskyi,Rivnenskyi
Rivnenskyi,Sarnenskyi
Rivnenskyi,Kremenetskyi
Rivnenskyi,Shepetivskyi
Sarnenskyi,Korostenskyi
Sarnenskyi,Zviahelskyi
Sarnenskyi,Varaskyi
Sarnenskyi,Rivnenskyi
Sarnenskyi,Sarnenskyi
Konotopskyi,Konotopskyi
Konotopskyi,Romenskyi
Konotopskyi,Sumskyi
Konotopskyi,Shostkynskyi
Konotopskyi,Nizhynskyi
Konotopskyi,Novhorod-Siverskyi
Konotopskyi,Prylutskyi
Okhtyrskyi,Myrhorodskyi
Okhtyrskyi,Poltavskyi
Okhtyrskyi,Okhtyrskyi
Okhtyrskyi,Sumskyi
Okhtyrskyi,Bohodukhivskyi
Romenskyi,Myrhorodskyi
Romenskyi,Konotopskyi
Romenskyi,Romenskyi
Romenskyi,Sumskyi
Romenskyi,Prylutskyi
Sumskyi,Myrhorodskyi
Sumskyi,Konotopskyi
Sumskyi,Okhtyrskyi
Sumskyi,Romenskyi
Sumskyi,Sumskyi
Shostkynskyi,Konotopskyi
Shostkynskyi,Shostkynskyi
Shostkynskyi,Novhorod-Siverskyi
Kremenetskyi,Zolochivskyi
Kremenetskyi,Dubenskyi
Kremenetskyi,Rivnenskyi
Kremenetskyi,Kremenetskyi
Kremenetskyi,Ternopilskyi
Kremenetskyi,Khmelnytskyi
Kremenetskyi,Shepetivskyi
Ternopilskyi,Ivano-Frankivskyi
Ternopilskyi,Zolochivskyi
Ternopilskyi,Lvivskyi
Ternopilskyi,Kremenetskyi
Ternopilskyi,Ternopilskyi
Ternopilskyi,Chortkivskyi
Ternopilskyi,Khmelnytskyi
Chortkivskyi,Ivano-Frankivskyi
Chortkivskyi,Kolomyiskyi
Chortkivskyi,Ternopilskyi
Chortkivskyi,Chortkivskyi
Chortkivskyi,Kamianets-Podilskyi
Chortkivskyi,Khmelnytskyi
Chortkivskyi,Dnistrovskyi
Chortkivskyi,Chernivetskyi
Bohodukhivskyi,Poltavskyi
Bohodukhivskyi,Okhtyrskyi
Bohodukhivskyi,Bohodukhivskyi
Bohodukhivskyi,Krasnohradskyi
Bohodukhivskyi,Kharkivskyi
Iziumskyi,Kramatorskyi
Iziumskyi,Svativskyi
Iziumskyi,Iziumskyi
Iziumskyi,Kupianskyi
Iziumskyi,Lozivskyi
Iziumskyi,Chuhuivskyi
Krasnohradskyi,Novomoskovskyi
Krasnohradskyi,Pavlohradskyi
Krasnohradskyi,Poltavskyi
Krasnohradskyi,Bohodukhivskyi
Krasnohradskyi,Krasnohradskyi
Krasnohradskyi,Lozivskyi
Krasnohradskyi,Kharkivskyi
Krasnohradskyi,Chuhuivskyi
Kupianskyi,Svativskyi
Kupianskyi,Iziumskyi
Kupianskyi,Kupianskyi
Kupianskyi,Chuhuivskyi
Lozivskyi,Pavlohradskyi
Lozivskyi,Synelnykivskyi
Lozivskyi,Kramatorskyi
Lozivskyi,Iziumskyi
Lozivskyi,Krasnohradskyi
Lozivskyi,Lozivskyi
Lozivskyi,Chuhuivskyi
Kharkivskyi,Bohodukhivskyi
Kharkivskyi,Krasnohradskyi
Kharkivskyi,Kharkivskyi
Kharkivskyi,Chuhuivskyi
Chuhuivskyi,Iziumskyi
Chuhuivskyi,Krasnohradskyi
Chuhuivskyi,Kupianskyi
Chuhuivskyi,Lozivskyi
Chuhuivskyi,Kharkivskyi
Chuhuivskyi,Chuhuivskyi
Beryslavskyi,Kryvorizkyi
Beryslavskyi,Bashtanskyi
Beryslavskyi,Beryslavskyi
Beryslavskyi,Kakhovskyi
Beryslavskyi,Khersonskyi
Henicheskyi,Kerchynskyi
Henicheskyi,Melitopolskyi
Henicheskyi,Henicheskyi
Henicheskyi,Kakhovskyi
Kakhovskyi,Krasnoperekopskyi
Kakhovskyi,Kryvorizkyi
Kakhovskyi,Nikopolskyi
Kakhovskyi,Vasylivskyi
Kakhovskyi,Melitopolskyi
Kakhovskyi,Beryslavskyi
Kakhovskyi,Henicheskyi
Kakhovskyi,Kakhovskyi
Kakhovskyi,Skadovskyi
Kakhovskyi,Khersonskyi
Skadovskyi,Krasnoperekopskyi
Skadovskyi,Mykolaivskyi
Skadovskyi,Kakhovskyi
Skadovskyi,Skadovskyi
Skadovskyi,Khersonskyi
Khersonskyi,Bashtanskyi
Khersonskyi,Mykolaivskyi
Khersonskyi,Beryslavskyi
Khersonskyi,Kakhovskyi
Khersonskyi,Skadovskyi
Khersonskyi,Khersonskyi
Kamianets-Podilskyi,Zhmerynskyi
Kamianets-Podilskyi,Mohyliv-Podilskyi
Kamianets-Podilskyi,Chortkivskyi
Kamianets-Podilskyi,Kamianets-Podilskyi
Kamianets-Podilskyi,Khmelnytskyi
Kamianets-Podilskyi,Dnistrovskyi
Khmelnytskyi,Vinnytskyi
Khmelnytskyi,Zhmerynskyi
Khmelnytskyi,Khmilnytskyi
Khmelnytskyi,Zhytomyrskyi
Khmelnytskyi,Kremenetskyi
Khmelnytskyi,Ternopilskyi
Khmelnytskyi,Chortkivskyi
Khmelnytskyi,Kamianets-Podilskyi
Khmelnytskyi,Khmelnytskyi
Khmelnytskyi,Shepetivskyi
Shepetivskyi,Zhytomyrskyi
Shepetivskyi,Zviahelskyi
Shepetivskyi,Rivnenskyi
Shepetivskyi,Kremenetskyi
Shepetivskyi,Khmelnytskyi
